Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type
ABB: PVI-3.0-OUTD-S-US-Z-M-A [240V],240,16.880829,3000,3121.669922,340,-5.70E-06,-0.000021,0.000582,-0.000712,0.9,480,9.181382,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-S-US-Z-M-A [277V],277,22.045107,3000,3106.850098,390,-5.46E-06,-0.000033,-0.000032,-0.00118,0.9,480,7.966282,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.0-OUTD-US [208V],208,18.166279,3000,3142.30127,310,-8.04E-06,-0.000011,0.000999,-0.000287,0.1,480,10.136456,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-US [240V],240,16.880829,3000,3121.669922,340,-5.70E-06,-0.000021,0.000582,-0.000712,0.1,480,9.181382,100,480,n/a,Utility Interactive
ABB: PVI-3.0-OUTD-US [277V],277,22.045107,3000,3106.850098,390,-5.46E-06,-0.000033,-0.000032,-0.00118,0.2,480,7.966282,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US [208V],208,25.595329,3600,3757.450928,310,-5.21E-06,-3.34E-06,0.000859,0.000536,0.1,480,12.120809,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US [240V],240,22.814655,3600,3739.761475,340,-3.05E-06,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US [277V],277,29.811159,3600,3724.187988,395,-3.75E-06,-0.000035,-0.000141,0.000468,0.2,480,9.428324,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-A [208V],208,25.595329,3600,3757.450928,310,-5.21E-06,-3.34E-06,0.000859,0.000536,0.1,480,12.120809,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-A [240V],240,22.814655,3600,3739.761475,340,-3.05E-06,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-A [277V],277,29.811159,3600,3724.187988,395,-3.75E-06,-0.000035,-0.000141,0.000468,0.2,480,9.428324,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z [208V],208,25.595329,3600,3757.450928,310,-5.21E-06,-3.34E-06,0.000859,0.000536,0.1,480,12.120809,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z [240V],240,22.814655,3600,3739.761475,340,-3.05E-06,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z [277V],277,29.811159,3600,3724.187988,395,-3.75E-06,-0.000035,-0.000141,0.000468,0.2,480,9.428324,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-A [208V],208,25.595329,3600,3757.450928,310,-5.21E-06,-3.34E-06,0.000859,0.000536,0.1,480,12.120809,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-A [240V],240,22.814655,3600,3739.761475,340,-3.05E-06,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-A [277V],277,29.811159,3600,3724.187988,395,-3.75E-06,-0.000035,-0.000141,0.000468,0.2,480,9.428324,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-M-A [208V],208,25.595329,3600,3757.450928,310,-5.21E-06,-3.34E-06,0.000859,0.000536,1.08,480,12.120809,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-M-A [240V],240,22.814655,3600,3739.761475,340,-3.05E-06,-0.000018,0.000483,0.001023,1.08,480,10.999298,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-S-US-Z-M-A [277V],277,29.811159,3600,3724.187988,395,-3.75E-06,-0.000035,-0.000141,0.000468,1.08,480,9.428324,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.6-OUTD-US [208V],208,25.595329,3600,3757.450928,310,-5.21E-06,-3.34E-06,0.000859,0.000536,0.1,480,12.120809,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-US [240V],240,22.814655,3600,3739.761475,340,-3.05E-06,-0.000018,0.000483,0.001023,0.2,480,10.999298,100,480,n/a,Utility Interactive
ABB: PVI-3.6-OUTD-US [277V],277,29.811159,3600,3724.187988,395,-3.75E-06,-0.000035,-0.000141,0.000468,0.2,480,9.428324,100,480,n/a,Utility Interactive
ABB: PVI-3.8-I-OUTD-x-US-y-Z [208V],208,25.361233,3300,3429.628906,310,-5.30E-06,-6.25E-06,0.002169,0.000453,0.1,416,11.063319,100,416,n/a,Utility Interactive
ABB: PVI-3.8-I-OUTD-x-US-y-Z [240V],240,25.460489,3800,3936.679688,340,-3.77E-06,-0.000016,0.00142,-0.000446,0.1,416,11.57847,100,416,n/a,Utility Interactive
ABB: PVI-3.8-I-OUTD-x-US-y-Z [277V],277,26.157766,3800,3925.978516,362,-3.21E-06,-0.000026,0.000742,-0.001012,0.1,416,10.845245,100,416,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US [208V],208,25.784565,3800,3972.822021,310,-4.87E-06,-0.000012,0.001047,0.00026,1.14,480,12.815555,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US [240V],240,26.980518,3800,3950.148682,340,-3.29E-06,-0.000024,0.000675,0.00051,1.14,480,11.618084,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US [277V],277,29.742764,3800,3931.927246,395,-2.82E-06,-0.000038,0.000019,-0.000022,1.14,480,9.954246,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-A [208V],208,25.784565,3800,3972.822021,310,-4.87E-06,-0.000012,0.001047,0.00026,1.14,480,12.815555,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-A [240V],240,26.980518,3800,3950.148682,340,-3.29E-06,-0.000024,0.000675,0.00051,1.14,480,11.618084,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-A [277V],277,29.742764,3800,3931.927246,395,-2.82E-06,-0.000038,0.000019,-0.000022,1.14,480,9.954246,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z [208V],208,25.784565,3800,3972.822021,310,-4.87E-06,-0.000012,0.001047,0.00026,1.14,480,12.815555,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z [240V],240,26.980518,3800,3950.148682,340,-3.29E-06,-0.000024,0.000675,0.00051,1.14,480,11.618084,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z [277V],277,29.742764,3800,3931.927246,395,-2.82E-06,-0.000038,0.000019,-0.000022,1.14,480,9.954246,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-A [208V],208,25.784565,3800,3972.822021,310,-4.87E-06,-0.000012,0.001047,0.00026,1.14,480,12.815555,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-A [240V],240,26.980518,3800,3950.148682,340,-3.29E-06,-0.000024,0.000675,0.00051,1.14,480,11.618084,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-A [277V],277,29.742764,3800,3931.927246,395,-2.82E-06,-0.000038,0.000019,-0.000022,1.14,480,9.954246,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-M-A [208V],208,25.784565,3800,3972.822021,310,-4.87E-06,-0.000012,0.001047,0.00026,1.14,480,12.815555,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-M-A [240V],240,26.980518,3800,3950.148682,340,-3.29E-06,-0.000024,0.000675,0.00051,1.14,480,11.618084,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-S-US-Z-M-A [277V],277,29.742764,3800,3931.927246,395,-2.82E-06,-0.000038,0.000019,-0.000022,1.14,480,9.954246,100,480,10/15/2018,Utility Interactive
ABB: PVI-3.8-OUTD-US [208V],208,25.784565,3800,3972.822021,310,-4.87E-06,-0.000012,0.001047,0.00026,1.14,480,12.815555,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-US [240V],240,26.980518,3800,3950.148682,340,-3.29E-06,-0.000024,0.000675,0.00051,1.14,480,11.618084,100,480,n/a,Utility Interactive
ABB: PVI-3.8-OUTD-US [277V],277,29.742764,3800,3931.927246,395,-2.82E-06,-0.000038,0.000019,-0.000022,1.14,480,9.954246,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US [208V],208,24.648075,4200,4393.078613,310,-4.83E-06,-2.93E-06,0.00063,0.000206,0.1,480,14.171221,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US [240V],240,27.734528,4200,4369.962402,340,-4.06E-06,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US [277V],277,29.07288,4200,4347.116211,395,-3.35E-06,-0.000034,-0.000283,0.000289,0.2,480,11.005357,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-A [208V],208,24.648075,4200,4393.078613,310,-4.83E-06,-2.93E-06,0.00063,0.000206,0.1,480,14.171221,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-A [240V],240,27.734528,4200,4369.962402,340,-4.06E-06,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-A [277V],277,29.07288,4200,4347.116211,395,-3.35E-06,-0.000034,-0.000283,0.000289,0.2,480,11.005357,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z [208V],208,24.648075,4200,4393.078613,310,-4.83E-06,-2.93E-06,0.00063,0.000206,0.1,480,14.171221,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z [240V],240,27.734528,4200,4369.962402,340,-4.06E-06,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z [277V],277,29.07288,4200,4347.116211,395,-3.35E-06,-0.000034,-0.000283,0.000289,0.2,480,11.005357,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-A [208V],208,24.648075,4200,4393.078613,310,-4.83E-06,-2.93E-06,0.00063,0.000206,0.1,480,14.171221,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-A [240V],240,27.734528,4200,4369.962402,340,-4.06E-06,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-A [277V],277,29.07288,4200,4347.116211,395,-3.35E-06,-0.000034,-0.000283,0.000289,0.2,480,11.005357,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-M-A [208V],208,24.648075,4200,4393.078613,310,-4.83E-06,-2.93E-06,0.00063,0.000206,1.26,480,14.171221,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-M-A [240V],240,27.734528,4200,4369.962402,340,-4.06E-06,-0.000024,-0.000063,-0.000598,1.26,480,12.852831,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-S-US-Z-M-A [277V],277,29.07288,4200,4347.116211,395,-3.35E-06,-0.000034,-0.000283,0.000289,1.26,480,11.005357,100,480,10/15/2018,Utility Interactive
ABB: PVI-4.2-OUTD-US [208V],208,24.648075,4200,4393.078613,310,-4.83E-06,-2.93E-06,0.00063,0.000206,0.1,480,14.171221,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-US [240V],240,27.734528,4200,4369.962402,340,-4.06E-06,-0.000024,-0.000063,-0.000598,0.2,480,12.852831,100,480,n/a,Utility Interactive
ABB: PVI-4.2-OUTD-US [277V],277,29.07288,4200,4347.116211,395,-3.35E-06,-0.000034,-0.000283,0.000289,0.2,480,11.005357,100,480,n/a,Utility Interactive
ABB: PVI-4.6-1-OUTD-x-US-y [208V],208,24.161985,4600,4800.85498,310,-4.59E-06,-0.000028,0.000934,-0.00218,0.1,416,15.486629,100,416,n/a,Utility Interactive
ABB: PVI-4.6-1-OUTD-x-US-y [240V],240,25.044422,4600,4772.468262,340,-3.44E-06,-0.000031,0.000561,-0.002531,0.1,416,14.036671,100,416,n/a,Utility Interactive
ABB: PVI-4.6-1-OUTD-x-US-y [277V],277,25.381403,4600,4756.200684,360,-2.91E-06,-0.000031,0.000267,-0.001631,0.1,416,13.211669,100,416,n/a,Utility Interactive
ABB: PVI-4.6-I-OUTD-x-US-y-Z [208V],208,24.161985,4600,4800.85498,310,-4.59E-06,-0.000028,0.000934,-0.00218,0.1,416,15.486629,100,416,n/a,Utility Interactive
ABB: PVI-4.6-I-OUTD-x-US-y-Z [240V],240,25.044422,4600,4772.468262,340,-3.44E-06,-0.000031,0.000561,-0.002531,0.1,416,14.036671,100,416,n/a,Utility Interactive
ABB: PVI-4.6-I-OUTD-x-US-y-Z [277V],277,25.381403,4600,4756.200684,360,-2.91E-06,-0.000031,0.000267,-0.001631,0.1,416,13.211669,100,416,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z [208V],208,30.859711,5000,5208.396484,310,-3.84E-06,-3.24E-06,0.00113,-0.000327,1.5,480,16.801279,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z [240V],240,32.035774,5000,5190.294434,345,-3.55E-06,-0.00001,0.000445,-0.000412,1.5,480,15.044332,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z [277V],277,38.20557,5000,5162.4375,400,-2.70E-06,-0.000018,0.000153,-0.000797,1.5,480,12.906094,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z-A [208V],208,30.859711,5000,5208.396484,310,-3.84E-06,-3.24E-06,0.00113,-0.000327,1.5,480,16.801279,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z-A [240V],240,32.035774,5000,5190.294434,345,-3.55E-06,-0.00001,0.000445,-0.000412,1.5,480,15.044332,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-S-US-Z-A [277V],277,38.20557,5000,5162.4375,400,-2.70E-06,-0.000018,0.000153,-0.000797,1.5,480,12.906094,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US [208V],208,30.859711,5000,5208.396484,310,-3.84E-06,-3.24E-06,0.00113,-0.000327,1.5,480,16.801279,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US [240V],240,32.035774,5000,5190.294434,345,-3.55E-06,-0.00001,0.000445,-0.000412,1.5,480,15.044332,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US [277V],277,38.20557,5000,5162.4375,400,-2.70E-06,-0.000018,0.000153,-0.000797,1.5,480,12.906094,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-A [208V],208,30.859711,5000,5208.396484,310,-3.84E-06,-3.24E-06,0.00113,-0.000327,1.5,480,16.801279,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-A [240V],240,32.035774,5000,5190.294434,345,-3.55E-06,-0.00001,0.000445,-0.000412,1.5,480,15.044332,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-A [277V],277,38.20557,5000,5162.4375,400,-2.70E-06,-0.000018,0.000153,-0.000797,1.5,480,12.906094,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z [208V],208,30.859711,5000,5208.396484,310,-3.84E-06,-3.24E-06,0.00113,-0.000327,1.5,480,16.801279,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-Z [240V],240,32.035774,5000,5190.294434,345,-3.55E-06,-0.00001,0.000445,-0.000412,1.5,480,15.044332,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-Z [277V],277,38.20557,5000,5162.4375,400,-2.70E-06,-0.000018,0.000153,-0.000797,1.5,480,12.906094,100,480,n/a,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-A [208V],208,30.859711,5000,5208.396484,310,-3.84E-06,-3.24E-06,0.00113,-0.000327,1.5,480,16.801279,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-A [240V],240,32.035774,5000,5190.294434,345,-3.55E-06,-0.00001,0.000445,-0.000412,1.5,480,15.044332,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-A [277V],277,38.20557,5000,5162.4375,400,-2.70E-06,-0.000018,0.000153,-0.000797,1.5,480,12.906094,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-M-A [208V],208,30.859711,5000,5208.396484,310,-3.84E-06,-3.24E-06,0.00113,-0.000327,1.5,480,16.801279,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-M-A [240V],240,32.035774,5000,5190.294434,345,-3.55E-06,-0.00001,0.000445,-0.000412,1.5,480,15.044332,100,480,10/15/2018,Utility Interactive
ABB: PVI-5000-OUTD-US-Z-M-A [277V],277,38.20557,5000,5162.4375,400,-2.70E-06,-0.000018,0.000153,-0.000797,1.5,480,12.906094,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-S-US-A [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-A [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-A [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z-A [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z-A [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-S-US-Z-A [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-A [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-A [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-A [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-Z [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-Z [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,n/a,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-A [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-A [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-A [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-M-A [208V],208,30.177542,6000,6267.335938,310,-3.60E-06,-6.05E-06,0.001075,-0.000453,1.8,480,20.217213,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-M-A [240V],240,29.691095,6000,6236.588867,345,-2.90E-06,-0.000013,0.000347,-0.000753,1.8,480,18.077069,100,480,10/15/2018,Utility Interactive
ABB: PVI-6000-OUTD-US-Z-M-A [277V],277,35.356373,6000,6196.806641,400,-2.03E-06,-0.000024,-0.000045,-0.001749,1.8,480,15.492017,100,480,10/15/2018,Utility Interactive
ABB: PVI-CENTRAL-100-US [208V],208,764.526367,100000,105695.3594,370,-3.11E-07,0.00002,0.001081,0.00012,47,480,285.663133,330,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-100-US [480V],480,830.711914,100000,105669.8516,370,-3.49E-07,0.000022,0.000719,-0.000142,50,480,285.594193,330,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-250-US [480V],480,868.129822,250000,259210.7656,360,-9.00E-08,0.000037,0.00363,-0.00025,105.3,480,720.029905,320,480,n/a,Utility Interactive
ABB: PVI-CENTRAL-300-US [480V],480,1000.15918,300000,311352.9375,360,-8.32E-08,0.000046,0.001259,-0.001242,119,480,864.869271,320,480,n/a,Utility Interactive
